epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1776.8,0.73585,2.72512,1.12843,0.64654,0.64419,0.66965,0.49212,0.9086,2.86769,1.37823,0.000301353,0.000301353,0.000301353
2,3448.96,0.77476,1.63953,1.12137,0.69715,0.7169,0.76054,0.60043,0.74744,2.05956,1.22389,0.00059837,0.00059837,0.00059837
3,5120.63,0.80359,1.44164,1.14705,0.77651,0.62982,0.72808,0.53204,0.9079,1.9798,1.38734,0.000889388,0.000889388,0.000889388
4,6822.27,0.79208,1.28799,1.14088,0.80364,0.70621,0.78829,0.62621,0.81086,1.66854,1.28522,0.000882003,0.000882003,0.000882003
5,8455.64,0.75847,1.11001,1.11785,0.8248,0.71085,0.79309,0.64161,0.7388,1.39278,1.21372,0.000873004,0.000873004,0.000873004
6,10097.7,0.74438,1.03487,1.11264,0.81268,0.78723,0.84276,0.67295,0.75754,1.10934,1.23615,0.000864004,0.000864004,0.000864004
7,11737.7,0.7161,0.94459,1.09873,0.85701,0.82184,0.86384,0.72299,0.64326,0.96794,1.15178,0.000855005,0.000855005,0.000855005
8,13376.2,0.70911,0.90578,1.08364,0.91806,0.76742,0.87336,0.70764,0.71109,0.92277,1.23661,0.000846006,0.000846006,0.000846006
9,15021,0.69649,0.85511,1.08501,0.90679,0.86285,0.89815,0.75848,0.61984,0.81236,1.12009,0.000837007,0.000837007,0.000837007
10,16628.6,0.6796,0.81495,1.0734,0.902,0.80834,0.89079,0.7573,0.67892,0.81613,1.1928,0.000828008,0.000828008,0.000828008
11,18234.6,0.67673,0.79623,1.07138,0.86885,0.83817,0.88143,0.7623,0.59583,0.78521,1.10711,0.000819009,0.000819009,0.000819009
12,19862.5,0.65488,0.78032,1.06091,0.90979,0.84108,0.89994,0.80446,0.57041,0.69437,1.08512,0.00081001,0.00081001,0.00081001
13,21467.5,0.64917,0.74365,1.05689,0.90056,0.80448,0.86585,0.7485,0.5822,0.78067,1.10155,0.000801011,0.000801011,0.000801011
14,23082.9,0.63783,0.72737,1.05087,0.90013,0.81709,0.89591,0.76379,0.5875,0.7238,1.11162,0.000792012,0.000792012,0.000792012
15,24723.6,0.63592,0.71123,1.05468,0.94463,0.87779,0.91037,0.79797,0.56101,0.57553,1.09462,0.000783013,0.000783013,0.000783013
16,26325.2,0.62438,0.68847,1.04083,0.9001,0.86832,0.89468,0.78932,0.57504,0.65101,1.09331,0.000774013,0.000774013,0.000774013
17,27952.6,0.60817,0.65387,1.03596,0.93843,0.87507,0.90617,0.78945,0.56171,0.62203,1.1079,0.000765014,0.000765014,0.000765014
18,29598.9,0.61988,0.66399,1.04593,0.94785,0.84699,0.88809,0.78596,0.58762,0.67482,1.11216,0.000756015,0.000756015,0.000756015
19,31251.2,0.60276,0.64627,1.0308,0.92844,0.84451,0.90826,0.80211,0.56758,0.66476,1.07587,0.000747016,0.000747016,0.000747016
20,32868.2,0.60015,0.62162,1.03147,0.94834,0.82424,0.89978,0.79755,0.55692,0.65965,1.08642,0.000738017,0.000738017,0.000738017
21,34485.2,0.59979,0.61706,1.02373,0.96734,0.82415,0.92338,0.83087,0.528,0.58933,1.04578,0.000729018,0.000729018,0.000729018
22,36084.1,0.57664,0.59851,1.01427,0.96579,0.85677,0.90327,0.79785,0.51988,0.63773,1.07369,0.000720019,0.000720019,0.000720019
23,37651.9,0.59133,0.6134,1.02295,0.91374,0.86821,0.90685,0.81842,0.49813,0.56849,1.03341,0.00071102,0.00071102,0.00071102
24,39201.4,0.58201,0.59904,1.0197,0.9539,0.87678,0.92112,0.82524,0.52248,0.55539,1.06871,0.000702021,0.000702021,0.000702021
25,40749.6,0.56517,0.56775,1.01315,0.99156,0.87976,0.91925,0.82816,0.52374,0.53145,1.05726,0.000693022,0.000693022,0.000693022
26,42301.7,0.58097,0.59171,1.02002,0.93514,0.8882,0.91422,0.81996,0.53005,0.5611,1.06258,0.000684022,0.000684022,0.000684022
27,43807.6,0.56314,0.56208,1.01106,0.9758,0.88583,0.92539,0.82255,0.55231,0.54209,1.07204,0.000675023,0.000675023,0.000675023
28,45336.6,0.56166,0.5526,1.00883,0.93731,0.8847,0.93357,0.84485,0.51424,0.5349,1.05992,0.000666024,0.000666024,0.000666024
29,46873.7,0.5558,0.54072,1.006,0.94981,0.85947,0.91398,0.81094,0.51291,0.57997,1.05462,0.000657025,0.000657025,0.000657025
30,48411,0.55021,0.54645,1.01135,0.95499,0.895,0.93557,0.83352,0.51091,0.457,1.06794,0.000648026,0.000648026,0.000648026
31,49923.3,0.5461,0.52899,0.99997,0.93773,0.87599,0.92038,0.82997,0.54814,0.53442,1.08139,0.000639027,0.000639027,0.000639027
32,51470.3,0.5419,0.53211,0.99643,0.94489,0.87053,0.90249,0.79848,0.55318,0.6229,1.09389,0.000630028,0.000630028,0.000630028
33,53039.6,0.55477,0.53909,1.00751,0.91367,0.87557,0.91024,0.83356,0.49413,0.6049,1.02478,0.000621029,0.000621029,0.000621029
34,54544.6,0.54446,0.52991,1.00244,0.94,0.87719,0.91024,0.82561,0.48057,0.52987,1.0409,0.00061203,0.00061203,0.00061203
35,56053.8,0.53838,0.52105,0.99661,0.93045,0.88165,0.91705,0.83232,0.49173,0.51912,1.03559,0.000603031,0.000603031,0.000603031
36,57569.5,0.53134,0.50863,0.9975,0.92301,0.88148,0.91064,0.84508,0.46034,0.4972,1.01851,0.000594031,0.000594031,0.000594031
37,59116.5,0.53017,0.49358,0.99273,0.94474,0.87108,0.91487,0.82142,0.51331,0.57113,1.05805,0.000585032,0.000585032,0.000585032
38,60634.8,0.53514,0.49967,0.99426,0.94454,0.90131,0.92356,0.82943,0.51768,0.50137,1.07671,0.000576033,0.000576033,0.000576033
39,62144.9,0.53058,0.49933,0.99497,0.94566,0.87249,0.91644,0.82364,0.46276,0.48621,1.01792,0.000567034,0.000567034,0.000567034
40,63664.7,0.52753,0.49088,0.99111,0.93993,0.90102,0.93213,0.86118,0.46902,0.4867,1.02797,0.000558035,0.000558035,0.000558035
41,65235.6,0.52179,0.47778,0.99113,0.91095,0.89689,0.92242,0.83849,0.50911,0.52694,1.03373,0.000549036,0.000549036,0.000549036
42,66751.6,0.52875,0.48661,0.98956,0.96588,0.88479,0.92924,0.82919,0.49514,0.49743,1.03378,0.000540037,0.000540037,0.000540037
43,68283.4,0.52142,0.47658,0.98845,0.9594,0.87804,0.93784,0.84951,0.48702,0.52394,1.02091,0.000531038,0.000531038,0.000531038
44,69771.7,0.51387,0.46517,0.9845,0.97039,0.88636,0.93335,0.84632,0.48455,0.47651,1.03418,0.000522039,0.000522039,0.000522039
45,71259,0.50942,0.46102,0.97928,0.97934,0.87977,0.92477,0.83812,0.48338,0.48927,1.02747,0.00051304,0.00051304,0.00051304
46,72737.7,0.50215,0.46132,0.97627,0.98244,0.89771,0.93886,0.84879,0.49072,0.44426,1.04415,0.00050404,0.00050404,0.00050404
47,74192.9,0.50168,0.45585,0.97578,0.97418,0.88896,0.92013,0.8309,0.51239,0.4644,1.06967,0.000495041,0.000495041,0.000495041
48,75659,0.49541,0.44818,0.9724,0.97859,0.8898,0.92192,0.84875,0.47398,0.50292,1.0156,0.000486042,0.000486042,0.000486042
49,77094.2,0.49896,0.45244,0.97557,0.94956,0.8936,0.91951,0.83332,0.50206,0.48925,1.04978,0.000477043,0.000477043,0.000477043
50,78587,0.50063,0.4402,0.9773,0.97319,0.89473,0.93433,0.84949,0.47929,0.44098,1.01716,0.000468044,0.000468044,0.000468044
51,80080.7,0.50072,0.43521,0.97194,0.96814,0.90232,0.9326,0.86216,0.45938,0.4365,0.99081,0.000459045,0.000459045,0.000459045
52,81591.4,0.50563,0.444,0.9759,0.97643,0.89719,0.92423,0.84498,0.4546,0.46632,1.01247,0.000450046,0.000450046,0.000450046
53,83064.6,0.49751,0.43204,0.97628,0.97277,0.86494,0.92455,0.84412,0.4503,0.44283,1.01375,0.000441047,0.000441047,0.000441047
54,84565.1,0.48294,0.4308,0.97057,0.97507,0.89487,0.92912,0.83619,0.4748,0.44122,1.03184,0.000432048,0.000432048,0.000432048
55,86080.8,0.47416,0.42338,0.96302,0.97212,0.89989,0.92342,0.84195,0.45321,0.45795,0.99737,0.000423049,0.000423049,0.000423049
56,87550.5,0.47746,0.43142,0.96399,0.97967,0.90017,0.92127,0.85395,0.43628,0.43268,1.00028,0.000414049,0.000414049,0.000414049
57,89050.7,0.4747,0.41669,0.96805,0.9643,0.8913,0.92354,0.85435,0.4348,0.43059,0.9954,0.00040505,0.00040505,0.00040505
58,90575,0.48167,0.42537,0.96489,0.98031,0.88576,0.92978,0.85599,0.44791,0.43458,1.00465,0.000396051,0.000396051,0.000396051
59,92123,0.47639,0.41532,0.96708,0.97773,0.89145,0.93767,0.86055,0.44776,0.43227,1.00244,0.000387052,0.000387052,0.000387052
60,93618.4,0.47248,0.40122,0.96348,0.96763,0.88189,0.92158,0.85037,0.44831,0.4486,1.01462,0.000378053,0.000378053,0.000378053
61,95257.4,0.47726,0.40107,0.96921,0.9894,0.89584,0.93408,0.85924,0.45808,0.43517,1.01588,0.000369054,0.000369054,0.000369054
62,96815.1,0.47323,0.40839,0.96167,0.97087,0.8888,0.93603,0.85589,0.44905,0.44855,1.01666,0.000360055,0.000360055,0.000360055
63,98324.5,0.46975,0.39462,0.95906,0.96225,0.8927,0.92699,0.85127,0.45103,0.45269,1.01089,0.000351056,0.000351056,0.000351056
64,99893.3,0.46456,0.39142,0.95358,0.98179,0.90476,0.93214,0.85204,0.45046,0.42157,1.00886,0.000342057,0.000342057,0.000342057
65,101382,0.45312,0.38957,0.95447,0.97815,0.89637,0.9345,0.856,0.45615,0.46072,1.007,0.000333058,0.000333058,0.000333058
66,102856,0.46046,0.38601,0.95453,0.98717,0.895,0.93985,0.86291,0.43769,0.42906,1.00655,0.000324058,0.000324058,0.000324058
67,104322,0.47126,0.39907,0.96016,0.97934,0.88222,0.93656,0.86846,0.42231,0.45166,1,0.000315059,0.000315059,0.000315059
68,105742,0.45704,0.38672,0.95537,0.97938,0.89915,0.93973,0.86619,0.44697,0.42431,1.01482,0.00030606,0.00030606,0.00030606
69,107083,0.45511,0.38851,0.95323,0.98132,0.89294,0.93515,0.86924,0.41528,0.40134,1.00127,0.000297061,0.000297061,0.000297061
70,108537,0.44228,0.37139,0.94381,0.97611,0.89906,0.92723,0.85812,0.43687,0.44479,0.99923,0.000288062,0.000288062,0.000288062
71,110000,0.45111,0.38112,0.95624,0.97638,0.89266,0.94007,0.87053,0.41821,0.427,0.9876,0.000279063,0.000279063,0.000279063
72,111370,0.43925,0.3724,0.94675,0.97608,0.91099,0.94095,0.87222,0.42276,0.4233,0.99065,0.000270064,0.000270064,0.000270064
73,112857,0.4407,0.36024,0.9473,0.98113,0.91349,0.94341,0.8887,0.4003,0.42425,0.96326,0.000261065,0.000261065,0.000261065
74,114320,0.45714,0.37287,0.95482,0.98408,0.90622,0.93832,0.8797,0.40709,0.40577,0.96768,0.000252066,0.000252066,0.000252066
75,115729,0.43694,0.36438,0.94877,0.97198,0.90868,0.94124,0.87527,0.43542,0.43305,0.99799,0.000243067,0.000243067,0.000243067
76,117227,0.43495,0.35934,0.94292,0.97727,0.908,0.92919,0.87085,0.41701,0.43052,0.98898,0.000234068,0.000234068,0.000234068
77,118689,0.43604,0.35002,0.94278,0.98136,0.90746,0.94158,0.87999,0.42354,0.41259,0.99668,0.000225068,0.000225068,0.000225068
78,120181,0.43424,0.35542,0.94467,0.97772,0.90798,0.93441,0.8744,0.42809,0.40822,1.00356,0.000216069,0.000216069,0.000216069
79,121678,0.43267,0.34471,0.94601,0.9773,0.90933,0.93309,0.87204,0.42599,0.41528,0.9963,0.00020707,0.00020707,0.00020707
80,123119,0.42688,0.34941,0.94399,0.97218,0.90615,0.93263,0.8765,0.41563,0.4037,0.97836,0.000198071,0.000198071,0.000198071
81,124616,0.42702,0.35083,0.94124,0.98747,0.90545,0.93453,0.86754,0.43764,0.42233,1.01004,0.000189072,0.000189072,0.000189072
82,126109,0.42861,0.35176,0.93532,0.98614,0.90554,0.94362,0.87213,0.43421,0.38454,1.0062,0.000180073,0.000180073,0.000180073
83,127574,0.42768,0.35008,0.94227,0.98356,0.90615,0.93139,0.85958,0.44028,0.42551,0.99531,0.000171074,0.000171074,0.000171074
84,129025,0.43193,0.34744,0.93878,0.98246,0.9104,0.94199,0.87584,0.43544,0.41214,1.00059,0.000162075,0.000162075,0.000162075
85,130485,0.42799,0.34312,0.94577,0.98151,0.90818,0.93746,0.87397,0.40844,0.40663,0.96984,0.000153076,0.000153076,0.000153076
86,131983,0.41653,0.3359,0.93509,0.97888,0.91101,0.94608,0.88158,0.42859,0.39896,1.00258,0.000144077,0.000144077,0.000144077
87,133433,0.42258,0.33732,0.93693,0.98559,0.89596,0.94026,0.87523,0.41173,0.42688,0.98069,0.000135077,0.000135077,0.000135077
88,134919,0.41861,0.3306,0.9378,0.98202,0.90405,0.94156,0.88432,0.40781,0.42283,0.96514,0.000126078,0.000126078,0.000126078
89,136394,0.41131,0.33279,0.93428,0.98567,0.91084,0.93794,0.88259,0.38976,0.42262,0.9572,0.000117079,0.000117079,0.000117079
90,137872,0.4254,0.33473,0.93956,0.98669,0.90529,0.93483,0.87746,0.39555,0.41612,0.96416,0.00010808,0.00010808,0.00010808
91,139265,0.25744,0.20217,0.87985,0.96175,0.90644,0.93042,0.87438,0.40482,0.44828,0.96917,9.9081e-05,9.9081e-05,9.9081e-05
92,140763,0.24743,0.18954,0.87008,0.96944,0.90639,0.93299,0.87555,0.41239,0.43489,0.97922,9.00819e-05,9.00819e-05,9.00819e-05
93,142238,0.25252,0.19288,0.87614,0.97009,0.906,0.93325,0.87121,0.43047,0.43808,0.98511,8.10828e-05,8.10828e-05,8.10828e-05
94,143664,0.24282,0.18054,0.86615,0.97316,0.90476,0.93604,0.87606,0.43186,0.43877,0.99577,7.20837e-05,7.20837e-05,7.20837e-05
95,145081,0.23854,0.17732,0.86629,0.9709,0.9099,0.93909,0.87977,0.40781,0.4116,0.97181,6.30846e-05,6.30846e-05,6.30846e-05
96,146556,0.23525,0.17703,0.86589,0.97026,0.91061,0.9359,0.87759,0.40204,0.39587,0.97156,5.40855e-05,5.40855e-05,5.40855e-05
97,147951,0.23596,0.17452,0.86603,0.98295,0.90083,0.9405,0.88386,0.40465,0.39283,0.97051,4.50864e-05,4.50864e-05,4.50864e-05
98,149431,0.2321,0.17434,0.86184,0.9826,0.90199,0.93882,0.88609,0.39799,0.38699,0.96785,3.60873e-05,3.60873e-05,3.60873e-05
